Team,Team_Abbr,Wins_2017,Win_Total_2018,OVER,UNDER
Arizona Diamondbacks,ARI,93,85.5,-105,-125
Atlanta Braves,ATL,72,74.5,-155,125
Baltimore Orioles,BAL,75,73,-125,-105
Boston Red Sox,BOS,93,91.5,-165,135
Chicago Cubs,CHC,92,94.5,-120,-110
Chicago White Sox,CHW,67,68,-250,195
Cincinnati Reds,CIN,68,73.5,-135,105
Cleveland Indians,CLE,102,94.5,-135,105
Colorado Rockies,COL,87,82,-155,125
Detroit Tigers,DET,64,68.5,105,-135
Houston Astros,HOU,101,96.5,-135,105
Kansas City Royals,KCR,80,71.5,115,-145
Los Angeles Angels,LAA,80,84.5,-125,-105
Los Angeles Dodgers,LAD,104,96.5,115,-145
Miami Marlins,MIA,77,64.5,110,-140
Milwaukee Brewers,MIL,86,84.5,-135,105
Minnesota Twins,MIN,85,82.5,-180,150
New York Mets,NYM,70,81,-160,130
New York Yankees,NYY,91,94.5,-115,-115
Oakland A’s,OAK,75,74.5,-170,140
Philadelphia Phillies,PHI,66,75.5,-260,200
Pittsburgh Pirates,PIT,75,73,-125,-105
San Diego Padres,SDP,71,69.5,-215,175
San Francisco Giants,SFG,64,81.5,-175,145
Seattle Mariners,SEA,78,81.5,-145,115
St. Louis Cardinals,STL,83,85.5,-140,110
Tampa Bay Rays,TBR,80,77.5,195,-250
Texas Rangers,TEX,78,77.5,125,-155
Toronto Blue Jays,TOR,76,81,-130,EVEN
Washington Nationals,WSN,97,92.5,-200,160
