Team,Current_Wins,Current_Losses,Current_WP%,OddsShark_Wins,OddsShark_Losses,OddsShark_WP%,Regressed_Wins,Regressed_Losses,Regressed_WP%,.05 WP% CI,.95 WP% CI,P(Lose100),P(Win100)
BOS,17,5,0.773,91.5,70.5,0.564814815,100,62,0.617283951,0.531434615,0.698088961,0,0.4928
HOU,16,9,0.64,96.5,65.5,0.595679012,99,63,0.611111111,0.524304115,0.690503202,0,0.4302
NYY,13,9,0.591,94.5,67.5,0.583333333,95,67,0.586419753,0.50033626,0.669851689,2.00E-04,0.2687
CLE,12,9,0.571,94.5,67.5,0.583333333,94,68,0.580246914,0.495195394,0.665913531,2.00E-04,0.2411
ARI,16,6,0.727,85.5,76.5,0.527777778,93,69,0.574074074,0.491530673,0.659117731,2.00E-04,0.2061
CHC,11,9,0.55,94.5,67.5,0.583333333,93,69,0.574074074,0.489911884,0.661805058,2.00E-04,0.2143
LAD,11,11,0.5,96.5,65.5,0.595679012,93,69,0.574074074,0.486687836,0.657501624,2.00E-04,0.1931
LAA,16,8,0.667,84.5,77.5,0.521604938,91,71,0.561728395,0.475543677,0.641886802,2.00E-04,0.1264
NYM,15,6,0.714,81,81,0.5,89,73,0.549382716,0.46484487,0.63389906,0.0011,0.0935
MIL,15,9,0.625,84.5,77.5,0.521604938,89,73,0.549382716,0.464893319,0.631501779,0.001,0.0875
STL,13,9,0.591,85.5,76.5,0.527777778,88,74,0.543209877,0.458935294,0.62753727,0.0013,0.0746
TOR,14,8,0.636,81,81,0.5,86,76,0.530864198,0.448774812,0.617216373,0.0023,0.0501
WSN,10,14,0.417,92.5,69.5,0.570987654,86,76,0.530864198,0.44740229,0.615898797,0.0023,0.0484
COL,13,12,0.52,82,80,0.50617284,83,79,0.512345679,0.42769217,0.593401158,0.0053,0.0186
SEA,12,10,0.545,81.5,80.5,0.50308642,83,79,0.512345679,0.429677999,0.598086429,0.0049,0.0225
PHI,14,8,0.636,75.5,86.5,0.466049383,82,80,0.50617284,0.423091521,0.591926545,0.0074,0.0179
SFG,11,12,0.478,81.5,80.5,0.50308642,80,82,0.49382716,0.41243633,0.579924096,0.0144,0.0085
MIN,8,10,0.444,82.5,79.5,0.509259259,80,82,0.49382716,0.409114608,0.581332808,0.0176,0.0093
OAK,13,11,0.542,74.5,87.5,0.459876543,78,84,0.481481481,0.396485617,0.563755247,0.029,0.0035
ATL,12,10,0.545,74.5,87.5,0.459876543,78,84,0.481481481,0.395058609,0.564232445,0.0309,0.0038
PIT,12,10,0.545,73,89,0.450617284,77,85,0.475308642,0.388002151,0.557541333,0.0405,0.0027
TBR,8,13,0.381,77.5,84.5,0.478395062,74,88,0.456790123,0.370963226,0.540298169,0.0782,0.0013
TEX,8,17,0.32,77.5,84.5,0.478395062,71,91,0.438271605,0.354134102,0.519256587,0.1435,2.00E-04
DET,9,11,0.45,68.5,93.5,0.422839506,69,93,0.425925926,0.343148301,0.514683935,0.1881,2.00E-04
SDP,9,16,0.36,69.5,92.5,0.429012346,66,96,0.407407407,0.327801333,0.493632922,0.2908,2.00E-04
BAL,6,17,0.261,73,89,0.450617284,65,97,0.401234568,0.320454859,0.486852014,0.3412,2.00E-04
KCR,5,16,0.238,71.5,90.5,0.441358025,64,98,0.395061728,0.310443997,0.478338136,0.4164,1.00E-04
CIN,5,18,0.217,73.5,88.5,0.453703704,64,98,0.395061728,0.312582491,0.478251991,0.4051,0
CHW,5,15,0.25,68,94,0.419753086,62,100,0.382716049,0.29696783,0.466205478,0.5198,0
MIA,6,17,0.261,64.5,97.5,0.398148148,59,103,0.364197531,0.280440991,0.446672269,0.657,0
