Team,Abbr,CBS_Sportsline,Vegas,ESPN_RPM,USA_Today,OddsShark,BetOnline,Westgate,Vegas2,2012_Wins,2013_Wins,2014_Wins,2015_Wins,2016_Wins,5Yr_Avg,Expert_Median,Expert_Avg,All_Median,All_Avg,2017_Wins
Atlanta Hawks,ATL,32.1,26,27,24,24,27.5,25.5,27.5,44,38,60,48,43,46.6,26.5,26.7,27,28.91111111,24
Boston Celtics,BOS,54.8,54,49.4,52,57,53.5,56.5,53.5,41,25,40,48,53,41.4,53.75,53.8375,53.5,52.45555556,55
Brooklyn Nets,BRO,20.9,27,29.5,29,30,26.5,28.5,26.5,49,44,38,21,20,34.4,27.75,27.2375,28.5,28.03333333,28
Charlotte Hornets,CHA,42.2,43.5,44.1,38,43,42.5,42.5,42.5,21,43,33,48,36,36.2,42.5,42.2875,42.5,41.61111111,36
Chicago Bulls,CHI,29.2,22.5,28.5,25,20,22.5,21.5,22.5,45,48,50,42,41,45.2,22.5,23.9625,22.5,26.32222222,27
Cleveland Cavaliers,CLE,54.1,54,49.2,56,51,54.5,53.5,54.5,24,33,53,57,51,43.6,54.05,53.35,54,52.26666667,50
Dallas Mavericks,DAL,37.7,35.5,34.6,31,32,35.5,35.5,35.5,41,49,50,42,33,43,35.5,34.6625,35.5,35.58888889,24
Denver Nuggets,DEN,41.4,45.5,47.2,44,44,43.5,45.5,43.5,57,36,30,33,40,39.2,44,44.325,44,43.75555556,46
Detroit Pistons,DET,43.3,38.5,35.1,39,37,38.5,38.5,38.5,29,29,32,44,37,34.2,38.5,38.55,38.5,38.06666667,39
Golden State Warriors,GSW,66.3,67.5,62.1,65,69,67.5,67.5,67.5,47,51,67,73,67,61,67.5,66.55,67.5,65.93333333,58
Houston Rockets,HOU,54.7,55.5,55,58,62,54.5,55.5,54.5,45,54,56,41,55,50.2,55.25,56.2125,55,55.54444444,65
Indiana Pacers,IND,30.6,31,32,32,30,30.5,31.5,30.5,49,56,38,45,42,46,30.8,31.0125,31,32.67777778,48
Los Angeles Clippers,LAC,43.3,44.5,48.9,45,43,42.5,43.5,42.5,56,57,56,53,51,54.6,43.4,44.15,43.5,45.31111111,42
Los Angeles Lakers,LAK,35,33,33,29,29,32.5,33.5,32.5,45,27,21,17,26,27.2,32.75,32.1875,32.5,31.63333333,35
Memphis Grizzlies,MEM,38.9,37.5,34.6,38,41,38.5,37.5,38.5,56,50,55,42,43,49.2,38.25,38.0625,38.5,39.3,22
Miami Heat,MIA,40,43,42.3,43,44,42.5,43.5,42.5,66,54,37,48,41,49.2,42.75,42.6,43,43.33333333,44
Milwaukee Bucks,MIL,41.3,47,46.9,45,49,46.5,47.5,46.5,38,15,41,33,42,33.8,46.7,46.2125,46.5,44.83333333,44
Minnesota Timberwolves,MIN,46,48,50.1,46,48,46.5,48.5,46.5,31,40,16,29,31,29.4,47.25,47.45,46.5,45.44444444,47
New Orleans Pelicans,NOP,42.8,40,44.2,40,40,40.5,39.5,40.5,27,34,45,30,34,34,40.25,40.9375,40,40.16666667,48
New York Knicks,NYK,35.2,29.5,32,27,36,30.5,30.5,30.5,54,37,17,32,31,34.2,30.5,31.4,30.5,31.71111111,29
Oklahoma City Thunder,OKC,48,53.5,49.5,59,51,52.5,51.5,53.5,60,59,45,55,47,53.2,52,52.3125,52.5,52.41111111,48
Orlando Magic,ORL,25.8,33,32.2,29,34,30.5,33.5,30.5,20,23,25,35,29,26.4,31.35,31.0625,30.5,30.54444444,25
Philadelphia 76ers,PHI,40.7,39.5,33.2,38,41,40.5,42.5,40.5,34,19,18,10,28,21.8,40.5,39.4875,40.5,37.52222222,52
Phoenix Suns,PHO,29.4,28.5,30.3,25,21,28.5,28.5,28.5,25,48,39,23,24,31.8,28.5,27.4625,28.5,27.94444444,21
Portland Trail Blazers,POR,38.8,42.5,43.8,43,37,40.5,42.5,40.5,33,54,51,44,41,44.6,41.5,41.075,42.5,41.46666667,49
Sacramento Kings,SAC,35,28,27.4,31,31,29,28.5,29.5,28,28,29,33,32,30,29.25,29.925,29.5,29.93333333,27
San Antonio Spurs,SAN,53.3,55.5,52.6,57,54,53.5,54.5,53.5,58,62,55,67,61,60.6,53.75,54.2375,54,54.94444444,47
Toronto Raptors,TOR,48.8,47.5,43.4,49,47,47.5,48.5,47.5,34,48,49,56,51,47.6,47.5,47.4,47.5,47.42222222,59
Utah Jazz,UTH,36.1,41,44.7,42,45,38.5,40.5,38.5,43,25,38,40,51,39.4,40.75,40.7875,40.5,40.63333333,48
Washington Wizards,WAS,44.6,49.5,47.5,51,50,48.5,47.5,48.5,29,44,46,41,49,41.8,48.5,48.3875,48.5,47.65555556,43
