Team,Team_Abbr,Oddshark_Wins,BetOnline_Wins,CGTech_Wins,BP_Wins,Fangraphs_Wins,Average,RegGames,WinnPerc
Arizona Diamondbacks,ARI,83.5,85.5,86.5,87,80.5,84.6,162,0.522222222
Atlanta Braves,ATL,74.5,74.5,73.5,76,72.9,74.3,162,0.458641975
Baltimore Orioles,BAL,73,73,77.5,70,75.5,73.8,162,0.455555556
Boston Red Sox,BOS,91.5,91.5,91.5,89,92.5,91.2,162,0.562962963
Chicago Cubs,CHC,94.5,94.5,93.5,92,96.1,94.1,162,0.580864198
Chicago White Sox,CHW,68,68,68.5,71,65.2,68.1,162,0.42037037
Cincinnati Reds,CIN,73.5,73.5,71.5,75,71.1,72.9,162,0.45
Cleveland Indians,CLE,94.5,94.5,93.5,96,96.4,95,162,0.586419753
Colorado Rockies,COL,82,82,82.5,78,79.4,80.8,162,0.498765432
Detroit Tigers,DET,68.5,68.5,68.5,68,69.9,68.7,162,0.424074074
Houston Astros,HOU,96.5,96.5,96.5,99,100.2,97.7,162,0.60308642
Kansas City Royals,KCR,71.5,71.5,76.5,65,70.9,71.1,162,0.438888889
Los Angeles Angels,LAA,84.5,84.5,84.5,80,82.5,83.2,162,0.513580247
Los Angeles Dodgers,LAD,96.5,96.5,95.5,97,94.6,96,162,0.592592593
Miami Marlins,MIA,64.5,64.5,64.5,65,64.2,64.5,162,0.398148148
Milwaukee Brewers,MIL,84.5,84.5,81.5,84,79.9,82.9,162,0.511728395
Minnesota Twins,MIN,82.5,82.5,82.5,82,82.9,82.5,162,0.509259259
New York Mets,NYM,81,81,80.5,81,83.9,81.5,162,0.50308642
New York Yankees,NYY,94.5,94.5,93.5,97,94.4,94.8,162,0.585185185
Oakland Athletics,OAK,74.5,74.5,74.5,76,77.9,75.5,162,0.466049383
Philadelphia Phillies,PHI,75.5,75.5,74.5,78,76.6,76,162,0.469135802
Pittsburgh Pirates,PIT,73,73,76.5,78,76.3,75.4,162,0.465432099
San Diego Padres,SDP,69.5,69.5,69.5,73,71.9,70.7,162,0.436419753
Seattle Mariners,SEA,81.5,81.5,81.5,82,77.8,80.9,162,0.499382716
San Francisco Giants,SFG,81.5,81.5,81.5,83,80.5,81.6,162,0.503703704
St. Louis Cardinals,STL,85.5,85.5,84.5,85,86.8,85.5,162,0.527777778
Tampa Bay Rays,TBR,77.5,77.5,76.5,83,75.6,78,162,0.481481481
Texas Rangers,TEX,77.5,77.5,78.5,76,77.4,77.4,162,0.477777778
Toronto Blue Jays,TOR,81,81,81.5,79,84.3,81.4,162,0.502469136
Washington Nationals,WSN,92.5,92.5,91.5,88,92.1,91.3,162,0.563580247
