Teams,DivisionOdds,WildCardOdds,PlayoffOdds,ExpectedWins
TEX,0.23158,0.19945,0.43103,85.0
HOU,0.4703,0.20052,0.67082,90.0
SEA,0.21479,0.2126,0.42739000000000005,85.0
OAK,0.01256,0.02532,0.03788,71.0
LAA,0.07077,0.11089,0.18166,79.0
CLE,0.75176,0.08975,0.84151,93.0
DET,0.1673,0.19822,0.36552,83.0
CHW,0.0092,0.0174,0.0266,70.0
MIN,0.01915,0.03604,0.05519,73.0
KCR,0.05259,0.08489,0.13748,77.0
BOS,0.54337,0.18587,0.72924,92.0
NYY,0.11815,0.17198,0.29013,82.0
TOR,0.20247,0.22726,0.42973,86.0
BAL,0.09519,0.15507,0.25026000000000004,82.0
TBR,0.04082,0.08474,0.12556,78.0
LAD,0.64662,0.18223,0.82885,94.0
SFG,0.25901,0.3193,0.57831,88.0
SDP,0.00149,0.00665,0.00814,66.0
ARI,0.03681,0.10374,0.14055,78.0
COL,0.05607,0.14065,0.19672,80.0
STL,0.17431,0.28865,0.46296000000000004,86.0
CHC,0.72255,0.15416,0.87671,96.0
MIL,0.00531,0.02235,0.027659999999999997,71.0
PIT,0.09243,0.22714,0.31957,83.0
CIN,0.0054,0.0234,0.0288,71.0
PHI,0.01915,0.0281,0.04725,73.0
WSN,0.55392,0.17013,0.72405,91.0
MIA,0.04831,0.07276,0.12107000000000001,77.0
NYM,0.36105,0.23098,0.59203,89.0
ATL,0.01757,0.02976,0.04733,73.0
