Team,Division_Odds_July16,WildCard_Odds_July16,Playoff_Odds_July16,Division_Odds_April24,WildCard_Odds_April24,Playoff_Odds_April24,FG_Division_July16,FG_WildCard_July16,FG_Playoffs_July16,FG_Division_April24,FG_WildCard_April24,FG_Playoffs_April24
TEX,0.00014,0.0044,0.00454,0.00257,0.01372,0.01629,0,0,0,0,0.012,0.012
HOU,0.88677,0.09095,0.97772,0.72066,0.17342,0.89408,0.983,0.016,0.999,0.927,0.051,0.978
SEA,0.08832,0.52229,0.61061,0.05423,0.18584,0.24007,0.014,0.648,0.662,0.007,0.071,0.078
OAK,0.01583,0.19028,0.20611,0.01559,0.07703,0.09262,0.002,0.288,0.29,0.01,0.088,0.098
LAA,0.00894,0.13056,0.1395,0.20695,0.37861,0.58556,0,0.024,0.024,0.055,0.34,0.395
CLE,0.92512,0.00596,0.93108,0.86981,0.02433,0.89414,0.981,0.001,0.982,0.944,0.016,0.96
DET,0.00257,0.00059,0.00316,0.0128,0.00935,0.02215,0,0,0,0,0.001,0.001
CHW,0.00021,3.00E-05,0.00024,0.00149,0.00089,0.00238,0,0,0,0,0,0
MIN,0.07207,0.02659,0.09866,0.11341,0.08562,0.19903,0.019,0.007,0.026,0.055,0.1,0.155
KCR,3.00E-05,1.00E-05,4.00E-05,0.00249,0.00174,0.00423,0,0,0,0,0.001,0.001
BOS,0.64531,0.33337,0.97868,0.63228,0.26488,0.89716,0.646,0.354,1,0.652,0.317,0.969
NYY,0.35418,0.59989,0.95407,0.30283,0.45581,0.75864,0.354,0.646,1,0.307,0.593,0.9
TOR,7.00E-05,0.02223,0.0223,0.06232,0.29231,0.35463,0,0.003,0.003,0.041,0.4,0.441
BAL,0,0,0,0.00011,0.00291,0.00302,0,0,0,0,0.001,0.001
TBR,0.00044,0.07285,0.07329,0.00246,0.03354,0.036,0,0.013,0.013,0,0.008,0.008
LAD,0.62971,0.196,0.82571,0.4436,0.27062,0.71422,0.77,0.142,0.912,0.759,0.133,0.892
SFG,0.05942,0.15681,0.21623,0.04839,0.11835,0.16674,0.028,0.128,0.156,0.027,0.082,0.109
SDP,0.00016,0.001,0.00116,0.00091,0.0041,0.00501,0,0,0,0,0.003,0.003
ARI,0.21026,0.31283,0.52309,0.44193,0.28644,0.72837,0.147,0.347,0.494,0.177,0.298,0.475
COL,0.10045,0.22634,0.32679,0.06517,0.16184,0.22701,0.055,0.17,0.225,0.037,0.092,0.129
STL,0.07443,0.22775,0.30218,0.23809,0.23921,0.4773,0.029,0.219,0.248,0.245,0.413,0.658
CHC,0.74463,0.15957,0.9042,0.50178,0.2181,0.71988,0.892,0.084,0.976,0.691,0.213,0.904
MIL,0.17306,0.38374,0.5568,0.23959,0.26573,0.50532,0.074,0.419,0.493,0.052,0.213,0.265
PIT,0.00659,0.04751,0.0541,0.02009,0.05532,0.07541,0.005,0.063,0.068,0.012,0.061,0.073
CIN,0.00129,0.01233,0.01362,0.00045,0.00185,0.0023,0,0.002,0.002,0,0,0
PHI,0.32462,0.08295,0.40757,0.16867,0.08723,0.2559,0.319,0.149,0.468,0.056,0.065,0.121
WSN,0.42693,0.09193,0.51886,0.31223,0.12147,0.4337,0.448,0.142,0.59,0.527,0.179,0.706
MIA,0.00101,0.00048,0.00149,0.00033,0.00027,6.00E-04,0,0,0,0,0,0
NYM,0.01581,0.00851,0.02432,0.45482,0.11865,0.57347,0.002,0.001,0.003,0.383,0.205,0.588
ATL,0.23163,0.09225,0.32388,0.06395,0.05082,0.11477,0.231,0.134,0.365,0.034,0.04,0.074
