question,price,seating,month,team,ranking
1,Price $120,Field,November,Colts,22
2,Price $180,Club,October,Browns,12
3,Price $60,Field,September,Jaguars,25
4,Price $120,Club,November,Cardinals,23
5,Price $180,Field,November,Cardinals,14
6,Price $60,Gridiron,December,SF,18
7,Price $60,Gridiron,October,Browns,17
8,Price $120,Gridiron,November,Cardinals,13
9,Price $240,Field,September,Jaguars,4
10,Price $240,Club,December,Steelers,7
11,Price $180,Gridiron,October,Browns,8
12,Price $180,Club,November,Colts,16
13,Price $60,Club,December,Steelers,28
14,Price $240,Gridiron,December,Steelers,2
15,Price $120,Gridiron,December,Steelers,11
16,Price $60,Field,December,Steelers,27
17,Price $120,Field,October,Browns,21
18,Price $180,Field,December,SF,10
19,Price $240,Club,October,Titans,6
20,Price $180,Field,October,Titans,15
21,Price $240,Club,September,Jaguars,5
22,Price $120,Club,October,Titans,24
23,Price $60,Gridiron,September,Jaguars,19
24,Price $240,Gridiron,September,Jaguars,1
25,Price $240,Field,December,SF,3
26,Price $60,Club,September,Jaguars,26
27,Price $180,Gridiron,November,Colts,9
28,Price $120,Gridiron,October,Titans,20
